frame,TP,FP,FN,TN
251,9,0,1,3
252,5,0,6,4
253,1,0,2,2
254,5,0,9,9
255,5,0,4,6
256,8,0,9,3
257,8,0,0,9
258,0,0,4,9
259,5,0,6,9
260,5,0,6,3
261,0,0,4,8
262,1,0,4,4
263,8,0,8,0
264,9,0,3,2
265,5,0,7,9
266,3,0,5,6
267,2,0,9,7
268,6,0,8,4
269,4,0,1,1
270,0,0,2,3
271,8,0,3,1
272,5,0,2,9
273,6,0,2,2
274,5,0,3,2
275,0,0,8,1
276,4,0,0,2
277,2,0,2,5
278,4,0,4,4
279,8,0,6,7
280,3,0,1,5
281,6,0,9,7
282,5,0,1,7
283,6,0,4,2
284,5,0,8,2
285,5,0,2,5
286,3,0,7,2
287,3,0,2,8
288,9,0,5,2
289,9,0,2,0
290,0,0,5,3
291,9,0,5,2
292,3,0,5,8
293,1,0,9,6
294,2,0,9,6
295,8,0,8,3
296,3,0,8,0
297,4,0,8,6
298,0,0,9,8
299,8,0,9,7
300,9,0,0,7
301,6,0,3,5
302,6,0,3,4
303,9,0,9,5
304,8,0,0,1
305,0,0,1,1
306,9,0,7,8
307,6,0,8,2
308,1,0,4,3
309,5,0,0,6
310,0,0,5,1
311,2,0,6,6
312,2,0,9,9
313,3,0,4,6
314,7,0,1,8
315,0,0,5,3
316,9,0,6,8
317,0,0,9,4
318,9,0,0,1
319,3,0,0,0
320,9,0,6,7
321,2,0,4,9
322,7,0,4,9
323,0,0,7,3
324,6,0,2,6
325,9,0,6,5
326,4,0,3,8
327,1,0,4,4
328,3,0,0,8
329,7,0,7,8
330,7,0,0,5
331,6,0,5,3
332,6,0,7,0
333,3,0,1,6
334,3,0,4,9
335,4,0,2,3
336,3,0,2,5
337,2,0,7,4
338,6,0,1,5
339,9,0,1,2
340,1,0,3,0
341,7,0,1,4
342,1,0,9,5
343,2,0,9,5
344,1,0,1,0
345,8,0,8,0
346,2,0,1,9
347,2,0,6,2
348,3,0,7,3
349,3,0,5,1
350,2,0,8,0
351,2,0,6,7
352,8,0,7,2
353,1,0,9,8
354,5,0,1,8
355,2,0,4,5
356,9,0,7,3
357,7,0,8,8
358,2,0,2,9
359,4,0,9,2
360,4,0,4,8
361,0,0,8,5
362,3,0,9,6
363,9,0,7,8
364,0,0,1,9
365,6,0,7,7
366,3,0,0,7
367,0,0,6,0
368,4,0,8,7
369,4,0,1,7
370,6,0,3,7
371,7,0,6,6
372,9,0,9,0
373,4,0,6,3
374,7,0,1,1
375,9,0,4,5
376,1,0,1,6
377,7,0,6,7
378,2,0,1,2
379,8,0,7,6
380,4,0,0,0
381,8,0,9,4
382,8,0,2,2
383,6,0,5,7
384,3,0,4,8
385,1,0,6,3
386,8,0,8,4
387,5,0,6,5
388,1,0,3,9
389,2,0,0,0
390,5,0,0,3
391,8,0,3,7
392,9,0,0,0
393,2,0,0,4
394,3,0,4,7
395,2,0,1,4
396,9,0,6,0
397,7,0,6,9
398,2,0,2,8
399,6,0,5,4
400,6,0,2,4
401,0,0,2,8
402,1,0,2,9
403,0,0,0,2
404,3,0,1,0
405,0,0,9,0
406,7,0,9,5
407,1,0,3,8
408,1,0,0,2
409,0,0,0,7
410,4,0,6,8
411,9,0,6,9
412,7,0,6,8
413,2,0,2,1
414,0,0,5,1
415,0,0,3,1
416,7,0,8,5
417,0,0,4,8
418,5,0,1,0
419,7,0,9,1
420,1,0,2,3
421,6,0,9,8
422,4,0,8,3
423,0,0,9,6
424,4,0,8,6
425,7,0,7,3
426,3,0,4,9
427,0,0,5,0
428,7,0,6,7
429,2,0,9,3
430,8,0,4,8
431,6,0,2,9
432,4,0,2,0
433,8,0,0,4
434,9,0,7,0
435,5,0,3,0
436,7,0,2,0
437,7,0,1,5
438,9,0,3,7
439,9,0,8,2
440,2,0,8,6
441,3,0,9,6
442,7,0,3,1
443,9,0,3,9
444,7,0,7,9
445,1,0,6,9
446,1,0,5,6
447,8,0,1,7
448,7,0,0,8
449,8,0,9,9
450,8,0,1,0
451,7,0,1,4
452,4,0,8,3
453,9,0,8,3
454,8,0,5,6
455,1,0,1,2
456,1,0,1,6
457,1,0,2,4
458,5,0,9,4
459,4,0,8,3
460,8,0,9,6
461,3,0,8,6
462,0,0,9,3
463,1,0,1,2
464,0,0,6,8
465,7,0,0,4
466,6,0,1,7
467,7,0,9,9
468,3,0,2,1
469,7,0,4,1
470,8,0,3,4
471,6,0,0,8
472,6,0,1,5
473,3,0,3,0
474,7,0,4,0
475,5,0,5,6
476,2,0,6,0
477,4,0,0,6
478,4,0,3,6
479,6,0,6,4
480,4,0,6,6
481,1,0,1,3
482,1,0,6,3
483,9,0,0,8
484,9,0,4,8
485,6,0,2,8
486,9,0,0,9
487,1,0,2,9
488,6,0,5,1
489,8,0,8,2
490,5,0,4,3
491,8,0,8,2
492,9,0,6,5
493,5,0,4,9
494,7,0,5,1
495,5,0,4,4
496,5,0,5,5
497,8,0,7,0
498,2,0,6,2
499,8,0,1,8
500,2,0,7,5
501,6,0,2,5
502,8,0,8,5
503,7,0,2,8
504,2,0,8,5
505,8,0,2,2
506,5,0,0,6
507,6,0,1,6
508,1,0,8,9
509,8,0,6,7
510,2,0,6,4
511,3,0,2,3
512,1,0,4,5
513,9,0,1,7
514,6,0,1,8
515,7,0,8,1
516,5,0,0,9
517,1,0,9,7
518,1,0,7,7
519,2,0,1,8
520,6,0,0,4
521,4,0,0,8
522,2,0,8,3
523,3,0,7,3
524,9,0,4,0
525,8,0,4,9
526,0,0,8,2
527,8,0,2,4
528,6,0,6,9
529,1,0,1,9
530,8,0,9,1
531,6,0,4,3
532,1,0,8,8
533,1,0,5,7
534,4,0,5,2
535,3,0,3,8
536,9,0,6,7
537,0,0,8,3
538,6,0,4,4
539,2,0,6,8
540,2,0,4,6
541,8,0,2,2
542,5,0,4,0
543,8,0,9,1
544,1,0,8,2
545,8,0,4,1
546,7,0,9,6
547,8,0,4,0
548,7,0,0,0
549,2,0,8,2
550,5,0,2,2
551,8,0,9,2
552,1,0,9,0
553,7,0,3,5
554,2,0,8,1
555,3,0,4,1
556,8,0,8,1
557,5,0,9,0
558,8,0,6,2
559,1,0,9,9
560,4,0,8,7
561,3,0,9,8
562,7,0,7,0
563,1,0,6,9
564,7,0,9,0
565,8,0,8,6
566,7,0,1,1
567,2,0,0,9
568,6,0,1,8
569,3,0,8,8
570,0,0,5,1
571,2,0,7,8
572,5,0,7,5
573,0,0,7,2
574,4,0,5,1
575,6,0,4,5
576,9,0,5,7
577,1,0,5,7
578,4,0,1,3
579,0,0,8,6
580,8,0,8,4
581,0,0,0,6
582,1,0,0,4
583,2,0,1,3
584,1,0,5,0
585,3,0,3,4
586,3,0,7,7
587,1,0,2,9
588,0,0,3,5
589,4,0,3,7
590,1,0,5,4
591,8,0,8,9
592,7,0,2,5
593,3,0,8,8
594,6,0,5,1
595,1,0,7,0
596,3,0,5,7
597,6,0,7,7
598,8,0,9,0
599,4,0,5,3
600,7,0,1,5
601,2,0,5,8
602,4,0,3,2
603,8,0,8,6
604,9,0,6,7
605,2,0,5,4
606,2,0,8,0
607,3,0,5,4
608,4,0,4,2
609,4,0,8,7
610,5,0,5,6
611,3,0,0,6
612,7,0,2,4
613,9,0,6,2
614,6,0,8,2
615,0,0,4,8
616,7,0,1,8
617,0,0,9,7
618,2,0,1,8
619,3,0,5,8
620,9,0,0,8
621,6,0,1,7
622,4,0,1,3
623,6,0,5,1
624,4,0,5,2
625,8,0,9,1
626,6,0,2,3
627,5,0,4,1
628,5,0,1,2
629,5,0,4,6
630,9,0,8,7
631,8,0,6,4
632,3,0,4,1
633,6,0,7,2
634,5,0,8,2
635,0,0,7,3
636,0,0,3,2
637,8,0,9,2
638,1,0,6,9
639,1,0,4,2
640,8,0,0,2
641,5,0,4,3
642,2,0,9,6
643,7,0,0,9
644,4,0,6,4
645,8,0,0,4
646,3,0,0,6
647,0,0,1,8
648,7,0,6,1
649,5,0,9,4
650,8,0,0,6
651,6,0,5,1
652,1,0,8,0
653,8,0,3,6
654,9,0,9,5
655,9,0,0,4
656,6,0,7,0
657,0,0,7,5
658,7,0,5,4
659,9,0,5,7
660,3,0,1,3
661,0,0,1,2
662,8,0,6,3
663,4,0,3,1
664,2,0,2,9
665,0,0,5,0
666,3,0,3,0
667,8,0,3,9
668,1,0,8,2
669,6,0,4,2
670,4,0,0,9
671,9,0,0,1
672,6,0,0,3
673,7,0,0,7
674,2,0,0,3
675,9,0,0,2
676,6,0,0,7
677,6,0,0,8
678,8,0,0,0
679,2,0,0,7
680,7,0,0,6
681,3,0,0,1
682,1,0,0,9
683,8,0,0,2
684,9,0,0,2
685,6,0,0,3
686,5,0,0,2
687,7,0,0,7
688,0,0,0,7
689,0,0,0,8
690,1,0,0,9
691,9,0,0,6
692,4,0,0,2
693,9,0,0,0
694,2,0,0,3
695,6,0,0,3
696,2,0,0,8
697,3,0,0,9
698,1,0,0,5
699,9,0,0,5
700,7,0,0,7
701,7,0,0,4
702,0,0,0,9
703,7,0,0,7
704,8,0,0,4
705,2,0,0,9
706,5,0,0,8
707,2,0,0,6
708,0,0,0,6
709,3,0,0,5
710,3,0,0,3
711,6,0,0,8
712,0,0,0,7
713,8,0,0,3
714,6,0,0,3
715,1,0,0,3
716,8,0,0,9
717,9,0,0,6
718,8,0,0,2
719,0,0,0,6
720,4,0,0,6
721,5,0,0,2
722,0,0,0,4
723,2,0,0,2
724,9,0,0,3
725,6,0,0,6
726,7,0,0,5
727,4,0,0,9
728,3,0,0,7
729,8,0,0,9
730,6,0,0,1
731,1,0,0,8
732,0,0,0,0
733,7,0,0,6
734,3,0,0,1
735,6,0,0,9
736,0,0,0,9
737,1,0,0,0
738,9,0,0,9
739,5,0,0,7
740,1,0,0,0
741,9,0,0,8
742,6,0,0,6
743,2,0,0,8
744,8,0,0,5
745,6,0,0,9
746,7,0,0,6
747,9,0,0,6
748,1,0,0,9
749,6,0,0,2
750,6,0,0,7
751,9,0,0,7
752,1,0,0,3
753,8,0,0,2
754,9,0,0,0
755,5,0,0,9
756,2,0,0,7
757,8,0,0,3
758,0,0,0,3
759,5,0,0,5
760,4,0,0,2
761,5,0,0,6
762,1,0,0,7
763,4,0,0,3
764,3,0,0,0
765,0,0,0,4
766,6,0,0,9
767,7,0,0,2
768,5,0,0,1
769,9,0,0,6
770,2,0,0,4
771,9,0,0,9
772,5,0,0,5
773,4,0,0,7
774,7,0,0,8
775,6,0,0,9
776,2,0,0,0
777,8,0,0,9
778,8,0,0,7
779,1,0,0,3
780,1,0,0,8
781,2,0,0,1
782,9,0,0,9
783,1,0,0,3
784,8,0,0,4
785,0,0,0,9
786,6,0,0,9
787,4,0,0,3
788,2,0,0,5
789,5,0,0,4
790,4,0,0,5
791,4,0,0,5
792,3,0,0,8
793,5,0,0,4
794,5,0,0,6
795,1,0,0,0
796,5,0,0,4
797,7,0,0,7
798,1,0,0,0
799,6,0,0,5
800,3,0,0,3
801,1,0,0,3
802,0,0,0,4
803,1,0,0,0
804,6,0,0,2
805,7,0,0,2
806,2,0,0,3
807,8,0,0,1
808,0,0,0,8
809,3,0,0,3
810,4,0,0,7
811,3,0,0,7
812,0,0,0,1
813,0,0,0,7
814,8,0,0,1
815,9,0,0,1
816,1,0,0,7
817,1,0,0,3
818,5,0,0,2
819,7,0,0,0
820,5,0,0,6
821,3,0,0,0
822,1,0,0,0
823,2,0,0,5
824,7,0,0,6
825,6,0,0,1
826,6,0,0,2
827,3,0,0,5
828,2,0,0,7
829,8,0,0,2
830,6,0,0,4
831,0,0,0,9
832,4,0,0,0
833,2,0,0,3
834,0,0,0,3
835,2,0,0,8
836,6,0,0,0
837,9,0,0,9
838,2,0,0,7
839,5,0,0,9
840,4,0,0,3
841,9,0,0,3
842,2,0,0,6
843,1,0,0,1
844,5,0,0,3
845,7,0,0,1
846,5,0,0,6
847,7,0,0,8
848,8,0,0,0
849,5,0,0,1
850,5,0,0,5
851,1,0,0,4
852,0,0,0,3
853,7,0,0,9
854,5,0,0,4
855,0,0,0,9
856,3,0,0,2
857,0,0,0,8
858,5,0,0,4
859,6,0,0,2
860,0,0,0,8
861,4,0,0,8
862,0,0,0,6
863,2,0,0,1
864,2,0,0,2
865,6,0,0,5
866,9,0,0,1
867,5,0,0,6
868,7,0,0,2
869,6,0,0,6
870,8,0,0,0
871,2,0,0,5
872,9,0,0,7
873,8,0,0,8
874,9,0,0,6
875,4,0,0,3
876,3,0,0,8
877,4,0,0,9
878,1,0,0,3
879,0,0,0,3
880,3,0,0,9
881,1,0,0,6
882,2,0,0,1
883,6,0,0,6
884,0,0,0,3
885,6,0,0,7
886,9,0,0,7
887,3,0,0,3
888,8,0,0,4
889,4,0,0,3
890,1,0,0,7
891,6,0,0,0
892,0,0,0,6
893,1,0,0,2
894,0,0,0,5
895,8,0,0,6
896,0,0,0,8
897,9,0,0,8
898,9,0,0,7
899,4,0,0,0
900,0,0,0,1
901,2,0,0,0
902,7,0,0,9
903,8,0,0,2
904,1,0,0,9
905,8,0,0,9
906,8,0,0,3
907,0,0,0,1
908,1,0,0,0
909,2,0,0,7
910,6,0,0,1
911,1,0,0,2
912,2,0,0,0
913,0,0,0,3
914,8,0,0,5
915,8,0,0,0
916,6,0,0,9
917,1,0,0,4
918,4,0,0,9
919,2,0,0,0
920,7,0,0,3
921,1,0,0,7
922,1,0,0,1
923,4,0,0,7
924,6,0,0,3
925,0,0,0,1
926,5,0,0,8
927,8,0,0,0
928,9,0,0,4
929,5,0,0,1
930,5,0,0,0
931,8,0,0,9
932,5,0,0,0
933,8,0,0,4
934,7,0,0,0
935,9,0,0,3
936,1,0,0,6
937,6,0,0,7
938,5,0,0,8
939,9,0,0,9
940,8,0,0,8
941,4,0,0,2
942,5,0,0,4
943,5,0,0,5
944,8,0,0,0
945,1,0,0,8
946,8,0,0,2
947,3,0,0,5
948,5,0,0,3
949,5,0,0,2
950,7,0,0,3
951,9,0,0,7
952,5,0,0,8
953,3,0,0,2
954,3,0,0,8
955,8,0,0,2
956,9,0,0,1
957,6,0,0,6
958,8,0,0,5
959,3,0,0,7
960,7,0,0,0
961,2,0,0,3
962,0,0,0,7
963,8,0,0,8
964,8,0,0,1
965,9,0,0,5
966,7,0,0,8
967,3,0,0,2
968,4,0,0,6
969,6,0,0,8
970,0,0,0,1
971,7,0,0,9
972,8,0,0,6
973,3,0,0,5
974,4,0,0,8
975,6,0,0,7
976,5,0,0,9
977,2,0,0,1
978,7,0,0,9
979,5,0,0,3
980,6,0,0,2
981,5,0,0,8
982,7,0,0,6
983,3,0,0,1
984,4,0,0,4
985,1,0,0,3
986,8,0,0,9
987,5,0,0,8
988,4,0,0,8
989,3,0,0,9
990,6,0,0,8
991,7,0,0,5
992,0,0,0,9
993,8,0,0,3
994,9,0,0,3
995,0,0,0,1
996,9,0,0,7
997,7,0,0,8
998,1,0,0,8
999,2,0,0,0
1000,0,0,0,5
1001,7,0,0,0
1002,2,0,0,8
1003,2,0,0,9
1004,9,0,0,3
1005,5,0,0,7
1006,1,0,0,9
1007,1,0,0,7
1008,7,0,0,7
1009,1,0,0,7
1010,5,0,0,5
1011,7,0,0,9
1012,2,0,0,0
1013,0,0,0,1
1014,6,0,0,2
1015,1,0,0,4
1016,2,0,0,6
1017,0,0,0,8
1018,6,0,0,5
1019,4,0,0,8
1020,3,0,0,6
1021,5,0,0,5
1022,8,0,0,7
1023,3,0,0,6
1024,3,0,0,5
1025,5,0,0,7
1026,4,0,0,4
1027,5,0,0,2
1028,9,0,0,9
1029,3,0,0,4
1030,3,0,0,4
1031,5,0,0,7
1032,2,0,0,8
1033,0,0,0,0
1034,0,0,0,5
1035,6,0,0,7
1036,2,0,0,9
1037,2,0,0,3
1038,1,0,0,6
1039,3,0,0,1
1040,5,0,0,2
1041,5,0,0,9
1042,5,0,0,6
1043,6,0,0,8
1044,7,0,0,2
1045,9,0,0,2
1046,0,0,0,9
1047,6,0,0,1
1048,2,0,0,6
1049,8,0,0,6
1050,1,0,0,4
1051,1,0,0,5
1052,8,0,0,4
1053,7,0,0,1
1054,4,0,0,1
1055,9,0,0,0
1056,3,0,0,3
1057,0,0,0,1
1058,2,0,0,8
1059,9,0,0,8
1060,2,0,0,8
1061,1,0,0,8
1062,8,0,0,4
1063,3,0,0,6
1064,7,0,0,5
1065,9,0,0,3
1066,6,0,0,8
1067,5,0,0,2
1068,7,0,0,6
1069,7,0,0,1
1070,7,0,0,1
1071,5,0,0,5
1072,4,0,0,7
1073,0,0,0,8
1074,4,0,0,7
1075,8,0,0,0
1076,2,0,0,0
1077,3,0,0,0
1078,3,0,0,3
1079,2,0,0,3
1080,7,0,0,8
1081,1,0,0,5
1082,0,0,0,1
1083,8,0,0,0
1084,3,0,0,1
1085,1,0,0,7
1086,1,0,0,1
1087,8,0,0,2
1088,7,0,0,5
1089,3,0,0,3
1090,1,0,0,3
1091,6,0,0,6
1092,3,0,0,2
1093,8,0,0,7
1094,5,0,0,1
1095,6,0,0,6
1096,8,0,0,7
1097,7,0,0,7
1098,7,0,0,9
1099,6,0,0,4
1100,7,0,0,3
1101,6,0,0,3
1102,3,0,0,9
1103,7,0,0,1
1104,6,0,0,9
1105,2,0,0,6
1106,6,0,0,7
1107,4,0,0,9
1108,0,0,0,8
1109,3,0,0,1
1110,0,0,0,9
1111,5,0,0,2
1112,9,0,0,7
1113,4,0,0,9
1114,2,0,0,0
1115,8,0,0,7
1116,0,0,0,5
1117,8,0,0,3
1118,5,0,0,1
1119,2,0,0,9
1120,5,0,0,9
1121,9,0,0,3
1122,3,0,0,9
1123,1,0,0,0
1124,5,0,0,8
1125,6,0,0,8
1126,5,0,0,9
1127,2,0,0,9
1128,2,0,0,0
1129,5,0,0,2
1130,4,0,0,8
1131,6,0,0,4
1132,6,0,0,6
1133,3,0,0,3
1134,1,0,0,3
1135,7,0,0,1
1136,0,0,0,3
1137,1,0,0,1
1138,1,0,0,1
1139,6,0,0,8
1140,5,0,0,4
1141,4,0,0,8
1142,1,0,0,8
1143,7,0,0,8
1144,9,0,0,5
1145,4,0,0,5
1146,1,0,0,5
1147,1,0,0,0
1148,1,0,0,0
1149,9,0,0,3
1150,1,0,0,2
1151,8,0,0,6
1152,5,0,0,9
1153,4,0,0,2
1154,2,0,0,1
1155,1,0,0,3
1156,3,0,0,5
1157,1,0,0,6
1158,1,0,0,0
1159,9,0,0,3
1160,5,0,0,5
1161,3,0,0,6
1162,8,0,0,4
1163,1,0,0,5
1164,4,0,0,7
1165,9,0,0,8
1166,4,0,0,9
1167,9,0,0,0
1168,2,0,0,7
1169,8,0,0,5
1170,4,0,0,0
1171,1,0,0,6
1172,8,0,0,5
1173,4,0,0,5
1174,7,0,0,1
1175,4,0,0,2
1176,2,0,0,8
1177,2,0,0,7
1178,1,0,0,0
1179,8,0,0,4
1180,1,0,0,0
1181,2,0,0,5
1182,9,0,0,1
1183,9,0,0,9
1184,4,0,0,2
1185,5,0,0,2
1186,5,0,0,4
1187,4,0,0,3
1188,4,0,0,9
1189,9,0,0,8
1190,8,0,0,6
1191,7,0,0,5
1192,4,0,0,0
1193,1,0,0,2
1194,1,0,0,6
1195,4,0,0,7
1196,6,0,0,7
1197,8,0,0,5
1198,8,0,0,2
1199,6,0,0,0
1200,3,0,0,8
1201,5,0,0,9
1202,8,0,0,5
1203,4,0,0,5
1204,0,0,0,8
1205,6,0,0,4
1206,3,0,0,0
1207,5,0,0,7
1208,0,0,0,6
1209,7,0,0,4
1210,3,0,0,6
1211,6,0,0,8
1212,8,0,0,0
1213,5,0,0,7
1214,6,0,0,9
1215,0,0,0,5
1216,6,0,0,2
1217,1,0,0,3
1218,9,0,0,0
1219,1,0,0,3
1220,8,0,0,3
1221,4,0,0,1
1222,5,0,0,9
1223,5,0,0,9
1224,5,0,0,4
1225,6,0,0,1
1226,1,0,0,4
1227,7,0,0,1
1228,7,0,0,3
1229,1,0,0,2
1230,0,0,0,6
1231,5,0,0,9
1232,5,0,0,8
1233,7,0,0,1
1234,1,0,0,5
1235,4,0,0,6
1236,7,0,0,4
1237,7,0,0,4
1238,7,0,0,1
1239,8,0,0,3
1240,4,0,0,0
1241,8,0,0,3
1242,2,0,0,6
1243,1,0,0,5
1244,9,0,0,4
1245,0,0,0,6
1246,6,0,0,2
1247,8,0,0,1
1248,9,0,0,1
1249,3,0,0,5
1250,2,0,0,0
1251,9,0,0,3
1252,3,0,0,5
1253,9,0,0,8
1254,4,0,0,5
1255,1,0,0,9
1256,1,0,0,8
1257,1,0,0,0
1258,9,0,0,4
1259,5,0,0,0
1260,6,0,0,8
1261,3,0,0,2
1262,6,0,0,4
1263,2,0,0,2
1264,5,0,0,5
1265,1,0,0,9
1266,5,0,0,8
1267,6,0,0,7
1268,6,0,0,6
1269,0,0,0,9
1270,2,0,0,5
1271,7,0,0,9
1272,2,0,0,0
1273,8,0,0,0
1274,5,0,0,3
1275,6,0,0,6
1276,3,0,0,8
1277,9,0,0,1
1278,3,0,0,0
1279,6,0,0,6
1280,7,0,0,2
1281,8,0,0,9
1282,1,0,0,3
1283,7,0,0,0
1284,7,0,0,7
1285,7,0,0,2
1286,6,0,0,3
1287,4,0,0,3
1288,5,0,0,2
1289,1,0,0,4
1290,7,0,0,6
1291,3,0,0,7
1292,7,0,0,8
1293,4,0,0,9
1294,4,0,0,1
1295,7,0,0,8
1296,3,0,0,0
1297,8,0,0,8
1298,7,0,0,4
1299,9,0,0,1
1300,3,0,0,8
1301,2,0,0,3
1302,6,0,0,6
1303,9,0,0,0
1304,0,0,0,4
1305,2,0,0,4
1306,1,0,0,1
1307,1,0,0,8
1308,8,0,0,2
1309,6,0,0,9
1310,9,0,0,3
1311,0,0,0,5
1312,2,0,0,8
1313,0,0,0,1
1314,7,0,0,4
1315,8,0,0,3
1316,1,0,0,7
1317,2,0,0,2
1318,5,0,0,2
1319,0,0,0,7
1320,3,0,0,5
1321,1,0,0,2
1322,5,0,0,1
1323,1,0,0,4
1324,1,0,0,5
1325,8,0,0,5
1326,5,0,0,7
1327,1,0,0,5
1328,0,0,0,4
1329,7,0,0,5
1330,0,0,0,9
1331,4,0,0,0
1332,6,0,0,2
1333,3,0,0,4
1334,2,0,0,0
1335,2,0,0,7
1336,1,0,0,5
1337,9,0,0,6
1338,8,0,0,4
1339,5,0,0,8
1340,2,0,0,3
1341,5,0,0,7
1342,9,0,0,2
1343,7,0,0,6
1344,5,0,0,1
1345,8,0,0,2
1346,2,0,0,3
1347,7,0,0,8
1348,7,0,0,2
1349,0,0,0,0
1350,8,0,0,6
1351,8,0,0,3
1352,9,0,0,2
1353,4,0,0,8
1354,1,0,0,7
1355,2,0,0,4
1356,9,0,0,2
1357,8,0,0,6
1358,5,0,0,7
1359,1,0,0,3
1360,0,0,0,7
